Min X value: -8373.719
Min Y value: -7.141647
Min Z value: -8273.554
Max X value: 10380.38
Max Y value: 220.334
Max Z value: 10480.55
Key: charpos in X , Y , Z , Time since start capture
1070.842 , 40.74066 , 684.1027 , 2.48
1071.085 , 40.66066 , 683.9265 , 2.5
1071.328 , 40.57266 , 683.7504 , 2.52
1071.57 , 40.47666 , 683.5743 , 2.54
1071.813 , 40.37266 , 683.3981 , 2.56
1072.056 , 40.26066 , 683.222 , 2.58
1072.299 , 40.14066 , 683.0458 , 2.6
1072.542 , 40.01266 , 682.8698 , 2.62
1072.785 , 39.87666 , 682.6936 , 2.64
1073.027 , 39.73266 , 682.5175 , 2.66
1073.27 , 39.58066 , 682.3413 , 2.68
1073.513 , 39.42066 , 682.1652 , 2.7
1073.756 , 39.25266 , 681.989 , 2.72
1073.999 , 39.07666 , 681.8129 , 2.74
1074.242 , 38.89266 , 681.6368 , 2.76
1074.485 , 38.70066 , 681.4606 , 2.78
1074.727 , 38.50066 , 681.2845 , 2.8
1074.97 , 38.29266 , 681.1083 , 2.82
1075.213 , 38.07666 , 680.9322 , 2.84
1075.456 , 37.85266 , 680.7561 , 2.86
1075.699 , 37.62066 , 680.58 , 2.88
1075.942 , 37.51208 , 680.4038 , 2.9
1076.105 , 37.50409 , 680.1523 , 2.92
1076.269 , 37.48808 , 679.9009 , 2.94
1076.432 , 37.46408 , 679.6494 , 2.96
1076.596 , 37.43208 , 679.3979 , 2.98
1076.76 , 37.39209 , 679.1465 , 3
1076.923 , 37.34409 , 678.895 , 3.02
1077.087 , 37.28809 , 678.6436 , 3.04
1077.25 , 37.22408 , 678.3921 , 3.06
1077.414 , 37.16316 , 678.1406 , 3.08
1077.578 , 37.15516 , 677.8892 , 3.1
1077.741 , 37.13916 , 677.6377 , 3.12
1077.905 , 37.11516 , 677.3862 , 3.14
1078.068 , 37.08316 , 677.1348 , 3.16
1078.232 , 37.04316 , 676.8832 , 3.18
1078.396 , 36.99516 , 676.6318 , 3.2
1078.559 , 36.93916 , 676.3803 , 3.22
1078.723 , 36.8885 , 676.1288 , 3.24
1078.886 , 36.8805 , 675.8774 , 3.26
1079.05 , 36.8645 , 675.6259 , 3.28
1079.214 , 36.8405 , 675.3745 , 3.3
1079.377 , 36.82136 , 675.123 , 3.32
1079.541 , 36.81335 , 674.8715 , 3.34
1079.704 , 36.79736 , 674.6201 , 3.36
1079.868 , 36.77772 , 674.3686 , 3.38
1080.032 , 36.76972 , 674.1171 , 3.4
1080.195 , 36.75372 , 673.8657 , 3.42
1080.359 , 36.72972 , 673.6142 , 3.44
1080.522 , 36.69772 , 673.3627 , 3.46
1080.686 , 36.67114 , 673.1113 , 3.48
1080.85 , 36.66314 , 672.8598 , 3.5
1081.013 , 36.64714 , 672.6083 , 3.52
1081.177 , 36.62314 , 672.3569 , 3.54
1081.34 , 36.59114 , 672.1054 , 3.56
1081.504 , 36.55114 , 671.8539 , 3.58
1081.668 , 36.53922 , 671.6025 , 3.6
1081.831 , 36.53122 , 671.351 , 3.62
1081.995 , 36.51522 , 671.0995 , 3.64
1082.158 , 36.49122 , 670.8481 , 3.66
1082.322 , 36.45922 , 670.5966 , 3.68
1082.486 , 36.43464 , 670.3451 , 3.7
1082.649 , 36.42664 , 670.0936 , 3.72
1082.813 , 36.41772 , 669.8422 , 3.74
1082.976 , 36.40972 , 669.5907 , 3.76
1083.14 , 36.40078 , 669.3392 , 3.78
1083.304 , 36.39278 , 669.0878 , 3.8
1083.467 , 36.37678 , 668.8363 , 3.82
1083.631 , 36.35278 , 668.5848 , 3.84
1083.794 , 36.32078 , 668.3334 , 3.86
1083.958 , 36.28632 , 668.0819 , 3.88
1084.122 , 36.27832 , 667.8304 , 3.9
1084.285 , 36.26475 , 667.579 , 3.92
1084.449 , 36.25675 , 667.3275 , 3.94
1084.612 , 36.24582 , 667.076 , 3.96
1084.776 , 36.23782 , 666.8246 , 3.98
1084.94 , 36.22182 , 666.5731 , 4
1085.103 , 36.19782 , 666.3217 , 4.02
1085.267 , 36.16582 , 666.0702 , 4.04
1085.43 , 36.12582 , 665.8187 , 4.06
1085.594 , 36.08905 , 665.5673 , 4.08
1085.758 , 36.08105 , 665.3158 , 4.1
1085.921 , 36.06505 , 665.0643 , 4.12
1086.085 , 36.04105 , 664.8129 , 4.14
1086.248 , 36.00905 , 664.5614 , 4.16
1086.412 , 35.97224 , 664.3099 , 4.18
1086.576 , 35.96424 , 664.0585 , 4.2
1086.739 , 35.94824 , 663.807 , 4.22
1086.903 , 35.92818 , 663.5555 , 4.24
1087.066 , 35.92019 , 663.304 , 4.26
1087.23 , 35.90491 , 663.0526 , 4.28
1087.394 , 35.89691 , 662.8011 , 4.3
1087.557 , 35.8816 , 662.5496 , 4.32
1087.721 , 35.8736 , 662.2982 , 4.34
1087.884 , 35.85832 , 662.0467 , 4.36
1088.048 , 35.85032 , 661.7952 , 4.38
1088.212 , 35.83432 , 661.5438 , 4.4
1088.375 , 35.81032 , 661.2923 , 4.42
1088.539 , 35.77832 , 661.0408 , 4.44
1088.702 , 35.73832 , 660.7894 , 4.46
1088.866 , 35.69032 , 660.5379 , 4.48
1089.03 , 35.64326 , 660.2864 , 4.5
1089.193 , 35.63526 , 660.035 , 4.52
1089.357 , 35.61926 , 659.7835 , 4.54
1089.52 , 35.59526 , 659.532 , 4.56
1089.684 , 35.56326 , 659.2806 , 4.58
1089.848 , 35.52326 , 659.0291 , 4.6
1090.011 , 35.48555 , 658.7776 , 4.62
1090.175 , 35.47755 , 658.5262 , 4.64
1090.338 , 35.46806 , 658.2747 , 4.66
1090.502 , 35.46006 , 658.0233 , 4.68
1090.666 , 35.45056 , 657.7718 , 4.7
1090.829 , 35.44256 , 657.5203 , 4.72
1090.993 , 35.43146 , 657.2689 , 4.74
1091.156 , 35.42346 , 657.0173 , 4.76
1091.32 , 35.40746 , 656.7659 , 4.78
1091.484 , 35.38346 , 656.5144 , 4.8
1091.647 , 35.35146 , 656.2629 , 4.82
1091.811 , 35.33004 , 656.0115 , 4.84
1091.974 , 35.32341 , 655.76 , 4.86
1092.138 , 35.31679 , 655.5085 , 4.88
1092.302 , 35.31014 , 655.2571 , 4.9
1092.465 , 35.30351 , 655.0056 , 4.92
1092.629 , 35.29551 , 654.7542 , 4.94
1092.792 , 35.27951 , 654.5027 , 4.96
1092.956 , 35.25551 , 654.2512 , 4.98
1093.119 , 35.22351 , 653.9998 , 5
1093.283 , 35.1974 , 653.7483 , 5.02
1093.447 , 35.1894 , 653.4968 , 5.04
1093.61 , 35.1734 , 653.2454 , 5.06
1093.774 , 35.1494 , 652.9939 , 5.08
1093.937 , 35.1174 , 652.7424 , 5.1
1094.101 , 35.11076 , 652.491 , 5.12
1094.265 , 35.10557 , 652.2395 , 5.14
1094.428 , 35.10697 , 651.988 , 5.16
1094.592 , 35.10836 , 651.7366 , 5.18
1094.755 , 35.10976 , 651.4851 , 5.2
1094.919 , 35.11114 , 651.2336 , 5.22
1095.083 , 35.11253 , 650.9822 , 5.24
1095.246 , 35.11393 , 650.7307 , 5.26
1095.41 , 35.11533 , 650.4792 , 5.28
1095.573 , 35.11673 , 650.2277 , 5.3
1095.737 , 35.10873 , 649.9763 , 5.32
1095.901 , 35.09291 , 649.7248 , 5.34
1096.064 , 35.08491 , 649.4733 , 5.36
1096.228 , 35.06891 , 649.2219 , 5.38
1096.391 , 35.05624 , 648.9704 , 5.4
1096.555 , 35.04824 , 648.7189 , 5.42
1096.719 , 35.03458 , 648.4675 , 5.44
1096.882 , 35.04004 , 648.216 , 5.46
1097.046 , 35.04549 , 647.9645 , 5.48
1097.209 , 35.04347 , 647.7131 , 5.5
1097.373 , 35.03547 , 647.4616 , 5.52
1097.537 , 35.02712 , 647.2101 , 5.54
1097.7 , 35.01912 , 646.9587 , 5.56
1097.864 , 35.01977 , 646.7072 , 5.58
1098.027 , 35.02694 , 646.4558 , 5.6
1098.191 , 35.03412 , 646.2043 , 5.62
1098.355 , 35.04128 , 645.9528 , 5.64
1098.518 , 35.04845 , 645.7014 , 5.66
1098.682 , 35.05315 , 645.4499 , 5.68
1098.845 , 35.04671 , 645.1984 , 5.7
1099.009 , 35.04026 , 644.947 , 5.72
1099.173 , 35.0338 , 644.6955 , 5.74
1099.336 , 35.0395 , 644.444 , 5.76
1099.5 , 35.05193 , 644.1926 , 5.78
1099.663 , 35.06435 , 643.941 , 5.8
1099.827 , 35.07677 , 643.6896 , 5.82
1099.991 , 35.08917 , 643.4381 , 5.84
1100.154 , 35.10159 , 643.1866 , 5.86
1100.318 , 35.10188 , 642.9352 , 5.88
1100.481 , 35.09872 , 642.6837 , 5.9
1100.645 , 35.09558 , 642.4323 , 5.92
1100.809 , 35.09241 , 642.1808 , 5.94
1100.972 , 35.08926 , 641.9293 , 5.96
1101.136 , 35.08611 , 641.6779 , 5.98
1101.299 , 35.08297 , 641.4264 , 6
1101.463 , 35.07982 , 641.1749 , 6.02
1101.627 , 35.07665 , 640.9235 , 6.04
1101.79 , 35.08008 , 640.672 , 6.06
1101.954 , 35.09444 , 640.4205 , 6.08
1102.117 , 35.1088 , 640.1691 , 6.1
1102.281 , 35.12317 , 639.9176 , 6.12
1102.445 , 35.13751 , 639.6661 , 6.14
1102.608 , 35.15187 , 639.4147 , 6.16
1102.772 , 35.16624 , 639.1632 , 6.18
1102.935 , 35.1806 , 638.9117 , 6.2
1103.099 , 35.19496 , 638.6603 , 6.22
1103.262 , 35.20926 , 638.4088 , 6.24
1103.426 , 35.20855 , 638.1573 , 6.26
1103.59 , 35.20734 , 637.9059 , 6.28
1103.753 , 35.20614 , 637.6544 , 6.3
1103.917 , 35.20494 , 637.403 , 6.32
1104.08 , 35.20375 , 637.1514 , 6.34
1104.244 , 35.20252 , 636.9 , 6.36
1104.408 , 35.2098 , 636.6485 , 6.38
1104.571 , 35.22157 , 636.397 , 6.4
1104.735 , 35.23333 , 636.1456 , 6.42
1104.898 , 35.23786 , 635.8941 , 6.44
1105.062 , 35.23598 , 635.6426 , 6.46
1105.226 , 35.23412 , 635.3912 , 6.48
1105.389 , 35.23227 , 635.1397 , 6.5
1105.553 , 35.23042 , 634.8882 , 6.52
1105.716 , 35.23537 , 634.6368 , 6.54
1105.88 , 35.2427 , 634.3853 , 6.56
1106.044 , 35.25005 , 634.1338 , 6.58
1106.207 , 35.2574 , 633.8824 , 6.6
1106.371 , 35.26332 , 633.6309 , 6.62
1106.534 , 35.25705 , 633.3795 , 6.64
1106.698 , 35.25075 , 633.128 , 6.66
1106.862 , 35.24496 , 632.8765 , 6.68
1107.025 , 35.24695 , 632.6251 , 6.7
1107.189 , 35.24892 , 632.3736 , 6.72
1107.352 , 35.25091 , 632.1221 , 6.74
1107.516 , 35.25286 , 631.8707 , 6.76
1107.68 , 35.25484 , 631.6192 , 6.78
1107.843 , 35.25682 , 631.3677 , 6.8
1108.007 , 35.25241 , 631.1163 , 6.82
1108.17 , 35.24467 , 630.8648 , 6.84
1108.334 , 35.23692 , 630.6133 , 6.86
1108.498 , 35.22915 , 630.3618 , 6.88
1108.661 , 35.2214 , 630.1104 , 6.9
1108.825 , 35.21365 , 629.8589 , 6.92
1108.988 , 35.20591 , 629.6074 , 6.94
1109.152 , 35.19816 , 629.356 , 6.96
1109.316 , 35.19038 , 629.1045 , 6.98
1109.479 , 35.18238 , 628.853 , 7
1109.643 , 35.1708 , 628.6016 , 7.02
1109.806 , 35.1628 , 628.3501 , 7.04
1109.97 , 35.1513 , 628.0986 , 7.06
1110.134 , 35.1433 , 627.8472 , 7.08
1110.297 , 35.13177 , 627.5957 , 7.1
1110.461 , 35.12378 , 627.3442 , 7.12
1110.624 , 35.11227 , 627.0928 , 7.14
1110.788 , 35.10427 , 626.8413 , 7.16
1110.952 , 35.09274 , 626.5898 , 7.18
1111.115 , 35.08474 , 626.3384 , 7.2
1111.279 , 35.06874 , 626.0869 , 7.22
1111.442 , 35.04475 , 625.8354 , 7.24
1111.606 , 35.02448 , 625.584 , 7.26
1111.77 , 35.01648 , 625.3325 , 7.28
1111.933 , 35.00048 , 625.0811 , 7.3
1112.097 , 34.97648 , 624.8296 , 7.32
1112.26 , 34.96333 , 624.5781 , 7.34
1112.424 , 34.95533 , 624.3267 , 7.36
1112.588 , 34.93933 , 624.0751 , 7.38
1112.751 , 34.91533 , 623.8237 , 7.4
1112.915 , 34.88953 , 623.5722 , 7.42
1113.078 , 34.88153 , 623.3207 , 7.44
1113.242 , 34.86553 , 623.0693 , 7.46
1113.406 , 34.84153 , 622.8178 , 7.48
1113.569 , 34.80953 , 622.5663 , 7.5
1113.733 , 34.78224 , 622.3149 , 7.52
1113.896 , 34.77424 , 622.0634 , 7.54
1114.06 , 34.75824 , 621.812 , 7.56
1114.224 , 34.73424 , 621.5605 , 7.58
1114.387 , 34.70224 , 621.309 , 7.6
1114.551 , 34.66224 , 621.0576 , 7.62
1114.714 , 34.64032 , 620.8061 , 7.64
1114.878 , 34.63232 , 620.5546 , 7.66
1115.042 , 34.61633 , 620.3032 , 7.68
1115.205 , 34.59232 , 620.0517 , 7.7
1115.369 , 34.56119 , 619.8002 , 7.72
1115.532 , 34.55318 , 619.5488 , 7.74
1115.696 , 34.53719 , 619.2973 , 7.76
1115.86 , 34.51319 , 619.0458 , 7.78
1116.023 , 34.48119 , 618.7944 , 7.8
1116.187 , 34.44118 , 618.5429 , 7.82
1116.35 , 34.39937 , 618.2914 , 7.84
1116.514 , 34.39137 , 618.04 , 7.86
1116.677 , 34.37537 , 617.7885 , 7.88
1116.841 , 34.35137 , 617.537 , 7.9
1117.005 , 34.31937 , 617.2855 , 7.92
1117.168 , 34.27937 , 617.0341 , 7.94
1117.332 , 34.23598 , 616.7826 , 7.96
1117.495 , 34.22798 , 616.5311 , 7.98
1117.659 , 34.21198 , 616.2797 , 8
1117.823 , 34.18798 , 616.0282 , 8.02
1117.986 , 34.15598 , 615.7767 , 8.04
1118.15 , 34.1303 , 615.5253 , 8.059999
1118.313 , 34.1223 , 615.2738 , 8.08
1118.477 , 34.1063 , 615.0223 , 8.099999
1118.641 , 34.0823 , 614.7709 , 8.12
1118.804 , 34.0503 , 614.5194 , 8.139999
1118.968 , 34.0103 , 614.2679 , 8.16
1119.131 , 33.97961 , 614.0165 , 8.179999
1119.295 , 33.97161 , 613.765 , 8.2
1119.459 , 33.95562 , 613.5136 , 8.22
1119.622 , 33.93161 , 613.2621 , 8.24
1119.786 , 33.89962 , 613.0106 , 8.26
1119.949 , 33.85962 , 612.7592 , 8.28
1120.113 , 33.83095 , 612.5077 , 8.3
1120.277 , 33.82295 , 612.2562 , 8.32
1120.44 , 33.80695 , 612.0048 , 8.34
1120.604 , 33.78295 , 611.7533 , 8.36
1120.767 , 33.75095 , 611.5018 , 8.38
1120.931 , 33.71095 , 611.2504 , 8.4
1121.095 , 33.66295 , 610.9989 , 8.42
1121.258 , 33.61869 , 610.7474 , 8.44
1121.432 , 33.61069 , 610.5026 , 8.46
1121.605 , 33.59469 , 610.2577 , 8.48
1121.778 , 33.57069 , 610.0129 , 8.5
1121.952 , 33.53869 , 609.768 , 8.52
1122.125 , 33.49869 , 609.5231 , 8.54
1122.298 , 33.45069 , 609.2783 , 8.559999
1122.472 , 33.41888 , 609.0334 , 8.58
1122.746 , 33.41088 , 608.9117 , 8.599999
1123.02 , 33.39488 , 608.7899 , 8.62
1123.294 , 33.37088 , 608.6681 , 8.639999
1123.568 , 33.33888 , 608.5463 , 8.66
1123.843 , 33.29888 , 608.4244 , 8.679999
1124.117 , 33.25088 , 608.3027 , 8.7
1124.391 , 33.19488 , 608.1808 , 8.72
1124.665 , 33.13088 , 608.0591 , 8.74
1124.939 , 33.05888 , 607.9373 , 8.76
1125.213 , 32.97888 , 607.8155 , 8.78
1125.487 , 32.89088 , 607.6937 , 8.8
1125.762 , 32.79488 , 607.5719 , 8.82
1126.036 , 32.69088 , 607.4501 , 8.84
1126.31 , 32.57888 , 607.3283 , 8.86
1126.584 , 32.45888 , 607.2065 , 8.88
1126.858 , 32.40491 , 607.0847 , 8.9
1127.076 , 32.39692 , 606.8784 , 8.92
1127.294 , 32.38092 , 606.6721 , 8.94
1127.512 , 32.35691 , 606.4657 , 8.96
1127.729 , 32.32492 , 606.2594 , 8.98
1127.947 , 32.28492 , 606.053 , 9
1128.165 , 32.23692 , 605.8467 , 9.02
1128.383 , 32.18092 , 605.6404 , 9.04
1128.601 , 32.11692 , 605.4341 , 9.059999
1128.818 , 32.04491 , 605.2278 , 9.08
1129.036 , 31.96492 , 605.0214 , 9.099999
1129.254 , 31.93359 , 604.8151 , 9.12
1129.301 , 31.93624 , 604.5189 , 9.139999
1129.368 , 31.93586 , 604.2263 , 9.16
1129.453 , 31.93248 , 603.9387 , 9.179999
1129.542 , 31.92851 , 603.6523 , 9.2
1129.631 , 31.92452 , 603.3658 , 9.22
1129.728 , 31.91934 , 603.0818 , 9.24
1129.825 , 31.91416 , 602.7979 , 9.26
1129.947 , 31.90616 , 602.5239 , 9.28
1130.069 , 31.89016 , 602.2499 , 9.3
1130.191 , 31.86789 , 601.976 , 9.32
1130.331 , 31.85989 , 601.7106 , 9.34
1130.471 , 31.84389 , 601.4452 , 9.36
1130.611 , 31.81989 , 601.1798 , 9.38
1130.751 , 31.79945 , 600.9144 , 9.4
1130.911 , 31.79145 , 600.6608 , 9.42
1131.072 , 31.77545 , 600.4072 , 9.44
1131.232 , 31.75145 , 600.1537 , 9.46
1131.392 , 31.72308 , 599.9001 , 9.48
1131.587 , 31.71508 , 599.6721 , 9.5
1131.782 , 31.69908 , 599.4442 , 9.52
1131.977 , 31.67508 , 599.2162 , 9.54
1132.172 , 31.64308 , 598.9882 , 9.559999
1132.367 , 31.60308 , 598.7603 , 9.58
1132.562 , 31.55508 , 598.5323 , 9.599999
1132.757 , 31.49908 , 598.3043 , 9.62
1132.952 , 31.4467 , 598.0764 , 9.639999
1133.17 , 31.4387 , 597.8701 , 9.66
1133.388 , 31.4227 , 597.6637 , 9.679999
1133.606 , 31.3987 , 597.4574 , 9.7
1133.823 , 31.3667 , 597.2511 , 9.719999
1134.041 , 31.33663 , 597.0447 , 9.74
1134.277 , 31.32863 , 596.8592 , 9.76
1134.513 , 31.31263 , 596.6736 , 9.78
1134.749 , 31.28863 , 596.4882 , 9.8
1134.984 , 31.25663 , 596.3026 , 9.82
1135.22 , 31.21707 , 596.1171 , 9.84
1135.474 , 31.20907 , 595.9572 , 9.86
1135.728 , 31.19307 , 595.7973 , 9.88
1135.982 , 31.16907 , 595.6375 , 9.9
1136.235 , 31.13707 , 595.4775 , 9.92
1136.489 , 31.09707 , 595.3177 , 9.94
1136.743 , 31.04907 , 595.1578 , 9.96
1136.997 , 31.00124 , 594.9979 , 9.98
1137.251 , 30.99324 , 594.8381 , 10
1137.505 , 30.98308 , 594.6782 , 10.02
1137.759 , 30.97508 , 594.5183 , 10.04
1138.012 , 30.95908 , 594.3584 , 10.06
1138.266 , 30.93508 , 594.1985 , 10.08
1138.52 , 30.91228 , 594.0387 , 10.1
1138.774 , 30.90428 , 593.8788 , 10.12
1139.028 , 30.88828 , 593.7189 , 10.14
1139.282 , 30.86428 , 593.559 , 10.16
1139.535 , 30.84843 , 593.3992 , 10.18
1139.789 , 30.84043 , 593.2393 , 10.2
1140.043 , 30.82443 , 593.0794 , 10.22
1140.297 , 30.80043 , 592.9196 , 10.24
1140.551 , 30.77801 , 592.7596 , 10.26
1140.8 , 30.77001 , 592.5932 , 10.28
1141.05 , 30.76587 , 592.4267 , 10.3
1141.3 , 30.76353 , 592.2603 , 10.32
1141.549 , 30.76119 , 592.0938 , 10.34
1141.799 , 30.75884 , 591.9273 , 10.36
1142.048 , 30.7565 , 591.7609 , 10.38
1142.298 , 30.75416 , 591.5944 , 10.4
1142.547 , 30.74733 , 591.4279 , 10.42
1142.797 , 30.73933 , 591.2615 , 10.44
1143.047 , 30.73095 , 591.095 , 10.46
1143.287 , 30.72295 , 590.9157 , 10.48
1143.528 , 30.7141 , 590.7364 , 10.5
1143.758 , 30.70609 , 590.5447 , 10.52
1143.989 , 30.69682 , 590.3531 , 10.54
1144.22 , 30.68882 , 590.1614 , 10.56
1144.451 , 30.67955 , 589.9698 , 10.58
1144.682 , 30.67487 , 589.7782 , 10.6
1144.912 , 30.67344 , 589.5865 , 10.62
1145.143 , 30.67201 , 589.3949 , 10.64
1145.374 , 30.67058 , 589.2032 , 10.66
1145.605 , 30.66915 , 589.0116 , 10.68
1145.836 , 30.66772 , 588.8199 , 10.7
1146.067 , 30.66629 , 588.6283 , 10.72
1146.297 , 30.66486 , 588.4367 , 10.74
1146.528 , 30.66343 , 588.2451 , 10.76
1146.759 , 30.66107 , 588.0534 , 10.78
1146.99 , 30.65568 , 587.8618 , 10.8
1147.221 , 30.65029 , 587.6701 , 10.82
1147.451 , 30.6449 , 587.4785 , 10.84
1147.682 , 30.63951 , 587.2868 , 10.86
1147.913 , 30.63412 , 587.0952 , 10.88
1148.144 , 30.62873 , 586.9036 , 10.9
1148.375 , 30.62334 , 586.7119 , 10.92
1148.605 , 30.62038 , 586.5203 , 10.94
1148.836 , 30.61824 , 586.3286 , 10.96
1149.067 , 30.61414 , 586.137 , 10.98
1149.298 , 30.61001 , 585.9453 , 11
1149.529 , 30.60904 , 585.7537 , 11.02
1149.76 , 30.6085 , 585.5621 , 11.04
1149.99 , 30.60797 , 585.3704 , 11.06
